Category,Year,Temperature
Lower bound (95% CI),1978,-0.077
Lower bound (95% CI),1979,0.041
Lower bound (95% CI),1980,0.077
Lower bound (95% CI),1981,0.125
Lower bound (95% CI),1982,-0.011
Lower bound (95% CI),1983,0.174
Lower bound (95% CI),1984,-0.033
Lower bound (95% CI),1985,-0.048
Lower bound (95% CI),1986,0.024
Lower bound (95% CI),1987,0.171
Lower bound (95% CI),1988,0.175
Lower bound (95% CI),1989,0.091
Lower bound (95% CI),1990,0.267
Lower bound (95% CI),1991,0.22
Lower bound (95% CI),1992,0.071
Lower bound (95% CI),1993,0.112
Lower bound (95% CI),1994,0.174
Lower bound (95% CI),1995,0.289
Lower bound (95% CI),1996,0.146
Lower bound (95% CI),1997,0.356
Lower bound (95% CI),1998,0.5
Lower bound (95% CI),1999,0.265
Lower bound (95% CI),2000,0.259
Lower bound (95% CI),2001,0.406
Lower bound (95% CI),2002,0.463
Lower bound (95% CI),2003,0.473
Lower bound (95% CI),2004,0.413
Lower bound (95% CI),2005,0.507
Lower bound (95% CI),2006,0.468
Lower bound (95% CI),2007,0.457
Lower bound (95% CI),2008,0.355
Lower bound (95% CI),2009,0.465
Lower bound (95% CI),2010,0.523
Lower bound (95% CI),2011,0.393
Lower bound (95% CI),2012,0.437
Lower bound (95% CI),2013,0.478
Lower bound (95% CI),2014,0.545
Lower bound (95% CI),2015,0.73
Lower bound (95% CI),2016,0.762
Lower bound (95% CI),2017,0.636
Lower bound (95% CI),2018,0.56
Lower bound (95% CI),2019,0.7
